Iteration,Cost,Temperature,Sequence
0,49,5000,2 3 5 1 6 4
1,35,4950,6 3 5 1 2 4
2,35,4900,5,5 3 6 1 2 4
3,39,4851,495,1 3 6 5 2 4
4,50,4802,98,1 4 6 5 2 3
5,62,4754,95,6 4 1 5 2 3
6,48,4707,401,6 2 1 5 4 3
7,52,4660,327,6 2 3 5 4 1
8,40,4613,724,6 5 3 2 4 1
9,30,4567,586,6 5 3 4 2 1
10,34,4521,911,5 6 3 4 2 1
11,46,4476,691,5 4 3 6 2 1
12,60,4431,924,5 2 3 6 4 1
13,52,4387,605,5 2 1 6 4 3
14,52,4343,729,5 2 1 4 6 3
15,48,4300,292,5 4 1 2 6 3
16,56,4257,289,5 4 3 2 6 1
17,44,4214,716,5 6 3 2 4 1
18,40,4172,569,6 5 3 2 4 1
19,53,4130,843,6 1 3 2 4 5
20,51,4089,535,6 4 3 2 1 5
21,41,4048,64,2 4 3 6 1 5
22,49,4008,153,2 4 6 3 1 5
23,53,3968,072,3 4 6 2 1 5
24,51,3928,391,3 4 5 2 1 6
25,43,3889,107,3 6 5 2 1 4
26,43,3850,216,1 6 5 2 3 4
27,49,3811,714,1 6 3 2 5 4
28,45,3773,597,1 6 2 3 5 4
29,53,3735,861,1 5 2 3 6 4
30,51,3698,502,5 1 2 3 6 4
31,53,3661,517,5 1 2 3 4 6
32,55,3624,902,1 5 2 3 4 6
33,63,3588,653,4 5 2 3 1 6
34,53,3552,766,2 5 4 3 1 6
35,45,3517,239,2 5 6 3 1 4
36,43,3482,066,2 5 3 6 1 4
37,47,3447,246,2 5 1 6 3 4
38,47,3412,773,1 5 2 6 3 4
39,45,3378,646,5 1 2 6 3 4
40,47,3344,859,1 5 2 6 3 4
41,53,3311,411,3 5 2 6 1 4
42,43,3278,297,2 5 3 6 1 4
43,39,3245,514,2 3 5 6 1 4
44,43,3213,059,2 5 3 6 1 4
45,41,3180,928,2 4 3 6 1 5
46,51,3149,119,6 4 3 2 1 5
47,53,3117,627,3 4 6 2 1 5
48,49,3086,451,1 4 6 2 3 5
49,53,3055,587,3 4 6 2 1 5
50,55,3025,031,3 1 6 2 4 5
51,39,2994,781,2 1 6 3 4 5
52,33,2964,833,2 1 4 3 6 5
53,43,2935,184,4 1 2 3 6 5
54,39,2905,833,4 2 1 3 6 5
55,45,2876,774,4 3 1 2 6 5
56,49,2848,006,4 6 1 2 3 5
57,51,2819,526,4 6 2 1 3 5
58,43,2791,331,4 3 2 1 6 5
59,47,2763,418,4 3 6 1 2 5
60,53,2735,783,3 4 6 1 2 5
61,59,2708,426,3 2 6 1 4 5
62,59,2681,341,3 2 6 1 5 4
63,35,2654,528,1 2 6 3 5 4
64,51,2627,983,1 3 6 2 5 4
65,56,2601,703,4 3 6 2 5 1
66,62,2575,686,4 6 3 2 5 1
67,54,2549,929,4 5 3 2 6 1
68,42,2524,43,4 2 3 5 6 1
69,46,2499,185,4 2 5 3 6 1
70,50,2474,193,6 2 5 3 4 1
71,44,2449,451,6 2 4 3 5 1
72,48,2424,957,6 2 4 5 3 1
73,31,2400,707,1 2 4 5 3 6
74,33,2376,7,1 2 4 6 3 5
75,39,2352,933,2 1 4 6 3 5
76,51,2329,404,2 6 4 1 3 5
77,50,2306,11,2 6 4 1 5 3
78,36,2283,049,2 1 4 6 5 3
79,48,2260,218,2 3 4 6 5 1
80,53,2237,616,2 3 4 6 1 5
81,39,2215,24,2 1 4 6 3 5
82,33,2193,087,2 1 4 3 6 5
83,31,2171,156,2 1 4 3 5 6
84,41,2149,445,4 1 2 3 5 6
85,35,2127,95,1 4 2 3 5 6
86,45,2106,671,1 4 6 3 5 2
87,33,2085,604,1 5 6 3 4 2
88,45,2064,748,1 5 6 4 3 2
89,41,2044,101,1 6 5 4 3 2
90,47,2023,66,5 6 1 4 3 2
91,55,2003,423,5 3 1 4 6 2
92,52,1983,389,5 2 1 4 6 3
93,46,1963,555,5 1 2 4 6 3
94,45,1943,92,3 1 2 4 6 5
95,43,1924,48,3 1 2 4 5 6
96,39,1905,236,2 1 3 4 5 6
97,53,1886,183,5 1 3 4 2 6
98,51,1867,322,6 1 3 4 2 5
99,47,1848,648,6 1 3 5 2 4
100,59,1830,162,6 1 3 2 5 4
101,55,1811,86,6 1 5 2 3 4
102,41,1793,742,6 1 2 5 3 4
103,51,1775,804,3 1 2 5 6 4
104,37,1758,046,2 1 3 5 6 4
105,35,1740,466,1 2 3 5 6 4
106,49,1723,061,3 2 1 5 6 4
107,41,1705,83,6 2 1 5 3 4
108,41,1688,772,6 1 2 5 3 4
109,43,1671,884,6 5 2 1 3 4
110,46,1655,166,6 5 2 4 3 1
111,50,1638,614,6 3 2 4 5 1
112,56,1622,228,6 3 2 5 4 1
113,59,1606,005,1 3 2 5 4 6
114,51,1589,945,1 3 2 5 6 4
115,47,1574,046,5 3 2 1 6 4
116,47,1558,306,6 3 2 1 5 4
117,47,1542,723,5 3 2 1 6 4
118,51,1527,295,1 3 2 5 6 4
119,38,1512,022,1 4 2 5 6 3
120,30,1496,902,1 2 4 5 6 3
121,36,1481,933,2 1 4 5 6 3
122,36,1467,114,2 1 6 5 4 3
123,45,1452,443,2 1 3 5 4 6
124,39,1437,918,2 4 3 5 1 6
125,39,1423,539,2 4 1 5 3 6
126,37,1409,304,2 1 4 5 3 6
127,31,1395,211,1 2 4 5 3 6
128,53,1381,259,1 3 4 5 2 6
129,31,1367,446,1 2 4 5 3 6
130,37,1353,771,2 1 4 5 3 6
131,51,1340,234,5 1 4 2 3 6
132,41,1326,831,5 1 2 4 3 6
133,47,1313,563,5 3 2 4 1 6
134,50,1300,427,5 3 2 4 6 1
135,52,1287,423,4 3 2 5 6 1
136,44,1274,549,2 3 4 5 6 1
137,43,1261,803,1 3 4 5 6 2
138,37,1249,185,1 3 6 5 4 2
139,59,1236,694,1 3 2 5 4 6
140,59,1224,327,4 3 2 5 1 6
141,63,1212,083,4 5 2 3 1 6
142,62,1199,963,4 5 2 6 1 3
143,57,1187,963,4 3 2 6 1 5
144,51,1176,083,3 4 2 6 1 5
145,37,1164,322,1 4 2 6 3 5
146,47,1152,679,1 5 2 6 3 4
147,51,1141,152,1 5 4 6 3 2
148,51,1129,741,6 5 4 1 3 2
149,51,1118,444,1 5 4 6 3 2
150,33,1107,259,1 2 4 6 3 5
