Iteration,Cost,Temperature,Sequence
0,201,5000,15 7 5 14 2 17 6 4 3 16 18 13 11 12 20 8 1 19 9 10
1,193,4950,15 7 5 14 2 10 6 4 3 16 18 13 11 12 20 8 1 19 9 17
2,187,4900,5,15 7 14 5 2 10 6 4 3 16 18 13 11 12 20 8 1 19 9 17
3,187,4851,495,15 7 14 5 2 10 6 4 3 16 18 13 11 12 19 8 1 20 9 17
4,193,4802,98,8 7 14 5 2 10 6 4 3 16 18 13 11 12 19 15 1 20 9 17
5,195,4754,95,8 7 14 10 2 5 6 4 3 16 18 13 11 12 19 15 1 20 9 17
6,207,4707,401,8 7 14 10 2 5 6 4 3 16 12 13 11 18 19 15 1 20 9 17
7,205,4660,327,8 7 14 10 2 5 6 4 3 16 1 13 11 18 19 15 12 20 9 17
8,199,4613,724,8 7 14 10 2 5 6 4 3 16 1 13 11 18 15 19 12 20 9 17
9,191,4567,586,8 13 14 10 2 5 6 4 3 16 1 7 11 18 15 19 12 20 9 17
10,221,4521,911,8 13 14 10 2 5 6 4 3 16 19 7 11 18 15 1 12 20 9 17
11,217,4476,691,8 13 14 17 2 5 6 4 3 16 19 7 11 18 15 1 12 20 9 10
12,215,4431,924,8 13 14 17 2 5 6 4 3 16 19 11 7 18 15 1 12 20 9 10
13,203,4387,605,8 13 14 17 2 5 6 4 3 16 19 11 7 18 15 1 12 9 20 10
14,195,4343,729,8 13 14 17 2 5 6 4 3 16 19 1 7 18 15 11 12 9 20 10
15,217,4300,292,8 13 14 17 2 5 6 4 3 16 19 1 12 18 15 11 7 9 20 10
16,213,4257,289,8 13 14 17 2 5 6 4 19 16 3 1 12 18 15 11 7 9 20 10
17,215,4214,716,8 13 14 17 2 5 6 4 19 16 3 1 12 18 15 11 10 9 20 7
18,199,4172,569,8 13 14 17 2 5 6 4 19 16 3 1 20 18 15 11 10 9 12 7
19,213,4130,843,8 13 14 9 2 5 6 4 19 16 3 1 20 18 15 11 10 17 12 7
20,207,4089,535,8 13 14 9 2 5 6 4 19 16 3 1 10 18 15 11 20 17 12 7
21,209,4048,64,8 13 14 9 2 5 6 4 19 16 3 1 10 18 17 11 20 15 12 7
22,201,4008,153,8 13 14 9 2 5 6 4 19 16 3 1 10 7 17 11 20 15 12 18
23,209,3968,072,8 13 14 9 2 5 6 4 19 16 3 17 10 7 1 11 20 15 12 18
24,221,3928,391,8 13 14 9 2 19 6 4 5 16 3 17 10 7 1 11 20 15 12 18
25,209,3889,107,8 13 14 9 2 19 6 4 5 16 11 17 10 7 1 3 20 15 12 18
26,199,3850,216,8 13 14 9 2 19 6 4 1 16 11 17 10 7 5 3 20 15 12 18
27,203,3811,714,8 13 14 11 2 19 6 4 1 16 9 17 10 7 5 3 20 15 12 18
28,195,3773,597,8 13 14 11 2 19 6 4 1 16 17 9 10 7 5 3 20 15 12 18
29,199,3735,861,8 13 14 11 2 19 6 4 20 16 17 9 10 7 5 3 1 15 12 18
30,203,3698,502,8 13 14 11 2 20 6 4 19 16 17 9 10 7 5 3 1 15 12 18
31,213,3661,517,8 13 14 11 2 20 3 4 19 16 17 9 10 7 5 6 1 15 12 18
32,209,3624,902,8 13 14 11 10 20 3 4 19 16 17 9 2 7 5 6 1 15 12 18
33,211,3588,653,12 13 14 11 10 20 3 4 19 16 17 9 2 7 5 6 1 15 8 18
34,219,3552,766,5 13 14 11 10 20 3 4 19 16 17 9 2 7 12 6 1 15 8 18
35,217,3517,239,5 13 14 11 10 20 19 4 3 16 17 9 2 7 12 6 1 15 8 18
36,211,3482,066,5 13 14 11 10 20 19 4 3 16 12 9 2 7 17 6 1 15 8 18
37,203,3447,246,5 13 14 11 10 20 19 4 17 16 12 9 2 7 3 6 1 15 8 18
38,213,3412,773,5 13 2 11 10 20 19 4 17 16 12 9 14 7 3 6 1 15 8 18
39,197,3378,646,5 13 2 11 10 20 19 4 17 16 12 9 3 7 14 6 1 15 8 18
40,193,3344,859,5 13 11 2 10 20 19 4 17 16 12 9 3 7 14 6 1 15 8 18
41,193,3311,411,5 13 11 2 10 20 12 4 17 16 19 9 3 7 14 6 1 15 8 18
42,207,3278,297,5 13 11 2 10 20 12 4 17 7 19 9 3 16 14 6 1 15 8 18
43,211,3245,514,5 13 11 2 10 20 12 4 17 7 18 9 3 16 14 6 1 15 8 19
44,207,3213,059,5 13 11 2 10 20 12 4 17 7 18 9 3 16 15 6 1 14 8 19
45,210,3180,928,5 13 11 2 10 20 12 4 17 7 18 9 3 16 15 6 1 14 19 8
46,212,3149,119,5 13 11 2 10 20 12 4 15 7 18 9 3 16 17 6 1 14 19 8
47,210,3117,627,5 13 11 2 10 20 12 4 14 7 18 9 3 16 17 6 1 15 19 8
48,210,3086,451,5 13 11 20 10 2 12 4 14 7 18 9 3 16 17 6 1 15 19 8
49,202,3055,587,5 13 16 20 10 2 12 4 14 7 18 9 3 11 17 6 1 15 19 8
50,204,3025,031,6 13 16 20 10 2 12 4 14 7 18 9 3 11 17 5 1 15 19 8
51,214,2994,781,6 13 16 20 10 2 12 4 14 7 18 9 11 3 17 5 1 15 19 8
52,212,2964,833,6 13 5 20 10 2 12 4 14 7 18 9 11 3 17 16 1 15 19 8
53,196,2935,184,6 13 5 20 10 2 12 18 14 7 4 9 11 3 17 16 1 15 19 8
54,192,2905,833,6 13 5 20 10 2 12 18 14 7 4 9 19 3 17 16 1 15 11 8
55,194,2876,774,2 13 5 20 10 6 12 18 14 7 4 9 19 3 17 16 1 15 11 8
56,186,2848,006,2 13 5 20 10 6 12 18 14 15 4 9 19 3 17 16 1 7 11 8
57,184,2819,526,2 13 5 20 10 6 7 18 14 15 4 9 19 3 17 16 1 12 11 8
58,186,2791,331,14 13 5 20 10 6 7 18 2 15 4 9 19 3 17 16 1 12 11 8
59,194,2763,418,14 13 5 20 10 6 7 18 2 15 4 9 19 3 16 17 1 12 11 8
60,198,2735,783,14 13 5 11 10 6 7 18 2 15 4 9 19 3 16 17 1 12 20 8
61,191,2708,426,14 13 5 11 10 6 7 18 2 15 4 9 19 3 16 17 1 8 20 12
62,183,2681,341,14 13 20 11 10 6 7 18 2 15 4 9 19 3 16 17 1 8 5 12
63,173,2654,528,14 13 20 18 10 6 7 11 2 15 4 9 19 3 16 17 1 8 5 12
64,163,2627,983,14 13 20 18 10 6 7 11 17 15 4 9 19 3 16 2 1 8 5 12
65,163,2601,703,14 13 20 18 10 6 7 11 17 15 19 9 4 3 16 2 1 8 5 12
66,195,2575,686,14 13 20 18 10 6 7 11 17 1 19 9 4 3 16 2 15 8 5 12
67,197,2549,929,14 13 20 18 10 6 7 11 17 1 19 9 4 3 16 2 8 15 5 12
68,203,2524,43,14 13 20 18 10 11 7 6 17 1 19 9 4 3 16 2 8 15 5 12
69,207,2499,185,11 13 20 18 10 14 7 6 17 1 19 9 4 3 16 2 8 15 5 12
70,189,2474,193,11 13 20 18 10 14 7 6 17 1 4 9 19 3 16 2 8 15 5 12
71,191,2449,451,11 13 20 18 3 14 7 6 17 1 4 9 19 10 16 2 8 15 5 12
72,197,2424,957,11 13 20 18 3 14 7 6 17 1 4 9 19 8 16 2 10 15 5 12
73,203,2400,707,11 13 20 18 3 7 14 6 17 1 4 9 19 8 16 2 10 15 5 12
74,211,2376,7,11 13 20 18 7 3 14 6 17 1 4 9 19 8 16 2 10 15 5 12
75,229,2352,933,11 13 1 18 7 3 14 6 17 20 4 9 19 8 16 2 10 15 5 12
76,215,2329,404,11 13 1 18 7 3 14 2 17 20 4 9 19 8 16 6 10 15 5 12
77,211,2306,11,4 13 1 18 7 3 14 2 17 20 11 9 19 8 16 6 10 15 5 12
78,211,2283,049,4 18 1 13 7 3 14 2 17 20 11 9 19 8 16 6 10 15 5 12
79,201,2260,218,4 14 1 13 7 3 18 2 17 20 11 9 19 8 16 6 10 15 5 12
80,213,2237,616,5 14 1 13 7 3 18 2 17 20 11 9 19 8 16 6 10 15 4 12
81,219,2215,24,6 14 1 13 7 3 18 2 17 20 11 9 19 8 16 5 10 15 4 12
82,221,2193,087,20 14 1 13 7 3 18 2 17 6 11 9 19 8 16 5 10 15 4 12
83,223,2171,156,20 14 1 9 7 3 18 2 17 6 11 13 19 8 16 5 10 15 4 12
84,229,2149,445,20 14 1 9 7 3 18 2 17 11 6 13 19 8 16 5 10 15 4 12
85,233,2127,95,15 14 1 9 7 3 18 2 17 11 6 13 19 8 16 5 10 20 4 12
86,215,2106,671,15 14 1 9 7 3 18 2 17 4 6 13 19 8 16 5 10 20 11 12
87,217,2085,604,8 14 1 9 7 3 18 2 17 4 6 13 19 15 16 5 10 20 11 12
88,237,2064,748,8 14 1 9 15 3 18 2 17 4 6 13 19 7 16 5 10 20 11 12
89,227,2044,101,14 8 1 9 15 3 18 2 17 4 6 13 19 7 16 5 10 20 11 12
90,223,2023,66,14 8 1 9 20 3 18 2 17 4 6 13 19 7 16 5 10 15 11 12
91,209,2003,423,14 8 1 9 20 3 2 18 17 4 6 13 19 7 16 5 10 15 11 12
92,209,1983,389,14 8 1 9 20 3 2 18 10 4 6 13 19 7 16 5 17 15 11 12
93,211,1963,555,14 8 1 9 20 3 12 18 10 4 6 13 19 7 16 5 17 15 11 2
94,205,1943,92,14 8 1 9 3 20 12 18 10 4 6 13 19 7 16 5 17 15 11 2
95,207,1924,48,14 8 1 9 3 20 7 18 10 4 6 13 19 12 16 5 17 15 11 2
96,209,1905,236,14 8 1 9 3 19 7 18 10 4 6 13 20 12 16 5 17 15 11 2
97,219,1886,183,14 8 1 9 3 4 7 18 10 19 6 13 20 12 16 5 17 15 11 2
98,177,1867,322,14 8 1 9 3 4 7 6 10 19 18 13 20 12 16 5 17 15 11 2
99,173,1848,648,14 10 1 9 3 4 7 6 8 19 18 13 20 12 16 5 17 15 11 2
100,169,1830,162,14 10 16 9 3 4 7 6 8 19 18 13 20 12 1 5 17 15 11 2
101,177,1811,86,14 8 16 9 3 4 7 6 10 19 18 13 20 12 1 5 17 15 11 2
102,177,1793,742,14 8 16 9 3 4 7 6 10 2 18 13 20 12 1 5 17 15 11 19
103,175,1775,804,14 8 10 9 3 4 7 6 16 2 18 13 20 12 1 5 17 15 11 19
104,181,1758,046,14 8 10 5 3 4 7 6 16 2 18 13 20 12 1 9 17 15 11 19
105,179,1740,466,14 8 10 5 3 4 7 6 16 2 18 13 20 12 1 11 17 15 9 19
106,163,1723,061,14 8 10 5 3 4 7 6 16 20 18 13 2 12 1 11 17 15 9 19
107,161,1705,83,14 8 10 5 3 4 7 6 16 20 18 11 2 12 1 13 17 15 9 19
108,175,1688,772,14 8 10 5 3 4 7 6 16 20 18 11 17 12 1 13 2 15 9 19
109,169,1671,884,14 8 10 5 3 4 7 6 16 20 18 11 17 12 9 13 2 15 1 19
110,167,1655,166,14 8 10 5 3 4 7 6 16 20 18 11 17 1 9 13 2 15 12 19
111,169,1638,614,14 8 10 5 3 4 7 6 16 20 15 11 17 1 9 13 2 18 12 19
112,189,1622,228,14 8 10 5 3 4 7 6 13 20 15 11 17 1 9 16 2 18 12 19
113,171,1606,005,14 8 10 5 3 4 7 6 13 20 15 18 17 1 9 16 2 11 12 19
114,159,1589,945,14 8 10 16 3 4 7 6 13 20 15 18 17 1 9 5 2 11 12 19
115,171,1574,046,14 8 10 16 3 4 2 6 13 20 15 18 17 1 9 5 7 11 12 19
116,175,1558,306,14 3 10 16 8 4 2 6 13 20 15 18 17 1 9 5 7 11 12 19
117,175,1542,723,14 3 10 16 8 6 2 4 13 20 15 18 17 1 9 5 7 11 12 19
118,199,1527,295,14 3 10 16 8 6 20 4 13 2 15 18 17 1 9 5 7 11 12 19
119,215,1512,022,14 3 12 16 8 6 20 4 13 2 15 18 17 1 9 5 7 11 10 19
120,205,1496,902,14 3 12 16 8 6 20 4 13 19 15 18 17 1 9 5 7 11 10 2
121,193,1481,933,14 3 12 9 8 6 20 4 13 19 15 18 17 1 16 5 7 11 10 2
122,199,1467,114,14 3 12 9 8 6 20 4 13 19 15 1 17 18 16 5 7 11 10 2
123,199,1452,443,14 3 12 9 8 6 20 4 13 18 15 1 17 19 16 5 7 11 10 2
124,217,1437,918,14 3 6 9 8 12 20 4 13 18 15 1 17 19 16 5 7 11 10 2
125,213,1423,539,14 3 6 9 8 12 20 7 13 18 15 1 17 19 16 5 4 11 10 2
126,177,1409,304,14 16 6 9 8 12 20 7 13 18 15 1 17 19 3 5 4 11 10 2
127,175,1395,211,14 16 6 9 8 12 20 19 13 18 15 1 17 7 3 5 4 11 10 2
128,177,1381,259,14 16 6 5 8 12 20 19 13 18 15 1 17 7 3 9 4 11 10 2
129,189,1367,446,14 16 5 6 8 12 20 19 13 18 15 1 17 7 3 9 4 11 10 2
130,197,1353,771,14 16 18 6 8 12 20 19 13 5 15 1 17 7 3 9 4 11 10 2
131,203,1340,234,14 16 18 6 13 12 20 19 8 5 15 1 17 7 3 9 4 11 10 2
132,207,1326,831,19 16 18 6 13 12 20 14 8 5 15 1 17 7 3 9 4 11 10 2
133,199,1313,563,19 16 18 6 13 12 20 14 8 5 11 1 17 7 3 9 4 15 10 2
