-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,p,1,1,1,1,r,1,1,1,1,1,1,1,-1
-1,r,-1,1,-1,r,-1,1,-1,r,-1,1,-1,r,-1
-1,1,1,1,r,1,1,1,1,1,1,1,1,1,-1
-1,1,-1,1,-1,r,-1,1,-1,1,-1,1,-1,1,-1
-1,1,1,1,1,1,1,1,r,1,1,1,1,1,-1
-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
-1,1,r,1,1,1,1,1,1,1,r,1,r,1,-1
-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
-1,r,r,1,1,1,1,r,1,1,1,1,1,r,-1
-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
-1,1,1,1,r,1,1,1,1,1,r,1,1,1,-1
-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
-1,r,1,1,1,1,r,1,1,1,1,1,1,r,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
